囈	呓
歸	归
馱	驮
鏜	镗
種	种
亞	亚
節	节
敍	叙
銦	铟
擔	担
瘮	瘆
癭	瘿
牀	床
紝	纴
婁	娄
併	并
緹	缇
騍	骒
燙	烫
領	领
稈	秆
鉬	钼
輛	辆
墊	垫
臠	脔
紀	纪
終	终
櫝	椟
貸	贷
余	余
獸	兽
蒔	莳
艣	橹
謬	谬
譯	译
塏	垲
癇	痫
烴	烃
矚	瞩
彞	彝
嬙	嫱
條	条
柺	拐
鉞	钺
訒	讱
誼	谊
鴨	鸭
鎡	镃
箠	棰
闋	阕
黴	霉
臘	腊
偵	侦
鐸	铎
諷	讽
銲	焊
鷁	鹢
饋	馈
鱭	鲚
余	馀
壽	寿
慶	庆
飆	飙
澩	泶
煉	炼
顳	颞
唄	呗
蕪	芜
誨	诲
鋃	锒
釧	钏
虛	虚
濛	蒙
綵	䌽
齋	斋
愾	忾
螄	蛳
麅	狍
嬸	婶
橰	槔
闐	阗
颻	飖
耬	耧
錡	锜
翹	翘
聾	聋
氈	毡
澇	涝
絞	绞
閉	闭
鉢	钵
婬	淫
瀟	潇
讚	赞
諜	谍
屆	届
撏	挦
騖	骛
鶻	鹘
餼	饩
驁	骜
穫	获
髖	髋
濱	滨
僥	侥
丑	丑
吳	吴
慾	欲
總	总
鎪	锼
鑔	镲
韤	袜
縐	绉
鑥	镥
墶	垯
攏	拢
摟	搂
綑	捆
閤	合
鰣	鲥
鳧	凫
繦	襁
隕	陨
慟	恸
頌	颂
郤	郄
鍤	锸
薔	蔷
濾	滤
幘	帻
嶔	嵚
鴬	鸴
袷	夾
縷	缕
讐	雠
緔	绱
魢	鱾
撐	撑
鏟	铲
祕	秘
膃	腽
鯷	鳀
鈸	钹
帶	带
媽	妈
懷	怀
瑲	玱
渦	涡
餞	饯
濟	济
繞	绕
擣	捣
爭	争
輟	辍
紥	扎
網	网
編	编
燶	㶶
餱	糇
鱔	鳝
塒	埘
廈	厦
陞	升
鷼	鹇
鷗	鸥
語	语
棧	栈
謖	谡
橈	桡
軤	轷
癬	癣
講	讲
餄	饸
鐃	铙
𡞵	㛟
蹺	跷
撳	揿
巹	卺
鳬	凫
蜡	蜡
駔	驵
溫	温
罌	罂
餉	饷
凟	渎
譴	谴
間	间
縋	缒
陣	阵
廟	庙
蔥	葱
蒞	莅
紕	纰
啢	唡
彥	彦
伕	夫
繭	茧
厤	历
鼉	鼍
广	广
俁	俣
鎲	镋
時	时
壈	𡒄
饒	饶
玆	兹
馮	冯
葒	荭
噓	嘘
鄲	郸
譫	谵
畝	亩
殯	殡
録	录
鯒	鲬
貼	贴
輝	辉
鬩	阋
彆	别
膩	腻
奬	奖
澁	涩
薌	芗
鱨	鲿
汙	污
蔔	卜
獻	献
甌	瓯
噚	㖊
噹	当
珮	佩
鸘	鹴
輪	轮
躒	跞
崙	仑
烏	乌
譽	誉
擺	摆
輈	辀
餶	馉
複	复
牐	闸
錙	锱
屜	屉
輯	辑
隊	队
刪	删
悵	怅
瀕	濒
癥	症
瀲	潋
禎	祯
邐	逦
鱝	鲼
堿	碱
丟	丢
嘰	叽
欽	钦
爺	爷
餛	馄
躪	躏
饌	馔
鸕	鸬
爿	丬
權	权
确	确
趙	赵
鹼	碱
屬	属
櫧	槠
軾	轼
銀	银
災	灾
藎	荩
鏢	镖
鷀	鹚
囅	冁
樅	枞
獫	猃
嚐	尝
誾	訚
頷	颔
場	场
塢	坞
驏	骣
劒	剑
氣	气
齒	齿
趕	赶
鰩	鳐
壓	压
隷	隶
瘓	痪
鄒	邹
鉤	钩
吶	呐
麴	曲
闊	阔
駙	驸
諳	谙
鐦	锎
勦	剿
唕	唣
觀	观
摣	揸
關	关
籐	藤
鄺	邝
飀	飗
纘	缵
衝	冲
躋	跻
蔞	蒌
設	设
覦	觎
穎	颖
蕘	荛
懼	惧
幫	帮
銨	铵
鳲	鸤
彙	汇
訪	访
輻	辐
偺	咱
將	将
鉸	铰
隄	堤
飣	饤
餿	馊
瞼	睑
顱	颅
蓧	莜
虧	亏
縟	缛
饈	馐
撝	㧑
蕓	芸
鮁	鲅
谿	溪
擠	挤
驂	骖
興	兴
躍	跃
戰	战
鵶	鸦
擬	拟
癱	瘫
鳾	䴓
陝	陕
縊	缢
貶	贬
審	审
朧	胧
噸	吨
塚	冢
莢	荚
顬	颥
盡	尽
長	长
訕	讪
覘	觇
坏	坏
頑	顽
攬	揽
儷	俪
鈒	钑
環	环
梟	枭
蒐	搜
颺	扬
鯤	鲲
遼	辽
畫	划
紘	纮
鰱	鲢
釓	钆
儺	傩
范	范
謁	谒
濘	泞
輕	轻
瀏	浏
鬧	闹
蘆	芦
叄	叁
幬	帱
醜	丑
湯	汤
隣	邻
楊	杨
郵	邮
奧	奥
褘	袆
聵	聩
鼴	鼹
幟	帜
壇	坛
熗	炝
獃	呆
絏	绁
饁	馌
媮	偷
灠	漤
闚	窥
談	谈
鍬	锹
誚	诮
覺	觉
鵃	鸼
鰷	鲦
賉	恤
譎	谲
託	讬
堅	坚
孃	娘
毉	医
獲	获
籢	奁
鋁	铝
鬨	哄
魴	鲂
騤	骙
詾	讻
罷	罢
謫	谪
鍀	锝
礆	硷
諦	谛
燬	毁
餕	馂
險	险
蔦	茑
騸	骟
鮌	鲧
織	织
蟎	螨
陳	陈
犛	牦
窰	窑
儂	侬
證	证
嚇	吓
閂	闩
癉	瘅
鼕	冬
蓮	莲
輅	辂
壚	垆
獮	狝
於	于
頃	顷
徑	径
標	标
杴	锨
曡	叠
綰	绾
託	托
嚶	嘤
墝	硗
豔	艳
檸	柠
戱	戯
么	么
鈷	钴
鸝	鹂
癩	癞
聯	联
憒	愦
鞝	绱
減	减
噝	咝
伙	伙
櫳	栊
垵	埯
淺	浅
軻	轲
逕	径
隻	只
麪	面
阯	址
犢	犊
箏	筝
頓	顿
誑	诳
獼	猕
緗	缃
鉋	刨
潤	润
創	创
瞞	瞒
篳	筚
餜	馃
燈	灯
捫	扪
釩	钒
蘭	兰
跼	局
鰺	鲹
蘢	茏
鰌	鳅
湧	涌
錸	铼
誕	诞
颱	台
謔	谑
鈺	钰
嚨	咙
盤	盘
篔	筼
愨	悫
嶮	崄
鉕	钷
鐒	铹
訶	诃
畢	毕
賒	赊
産	产
邁	迈
攜	携
聶	聂
擓	㧟
蓡	参
僉	佥
讞	谳
啞	哑
縧	绦
嵗	岁
鑑	鉴
雞	鸡
鋶	锍
額	额
鴕	鸵
誠	诚
豐	丰
鏷	镤
脫	脱
镟	旋
緼	缊
報	报
樸	朴
癡	痴
壠	垄
悶	闷
搗	捣
摯	挚
澤	泽
覡	觋
貟	贠
釦	扣
鎢	钨
櫪	枥
贇	赟
眾	众
鋨	锇
鵾	鹍
磯	矶
鱂	鳉
墾	垦
潔	洁
紺	绀
賀	贺
磚	砖
飠	饣
扡	扦
繆	缪
覿	觌
鋏	铗
綵	彩
纜	缆
呂	吕
參	参
賛	赞
粧	妆
潑	泼
瀋	渖
細	细
硜	硁
慳	悭
攝	摄
賅	赅
輸	输
术	术
撲	扑
驕	骄
卹	恤
啓	启
魷	鱿
愴	怆
勻	匀
嗩	唢
島	岛
亂	乱
緱	缑
躓	踬
腊	腊
訃	讣
嫿	婳
萵	莴
蘿	萝
飩	饨
鶯	莺
鯿	鳊
嚻	嚣
廬	庐
敗	败
綈	绨
鮶	鲪
爾	尔
蓽	荜
礙	碍
誹	诽
嘆	叹
擰	拧
脇	胁
潙	沩
釵	钗
偸	偷
菸	烟
蘞	蔹
懟	怼
貺	贶
這	这
鶪	䴗
賽	赛
俔	伣
嬋	婵
曠	旷
麵	面
禦	御
檯	台
砲	炮
搆	构
鰂	鲗
鏇	镟
鰍	鳅
憶	忆
釀	酿
臟	脏
齷	龌
塼	砖
儸	罗
剷	铲
菴	庵
瀨	濑
鈣	钙
禕	祎
錒	锕
